Data Atual,,12/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173111.50,173215.69,173356.03,173623.83,173934.12,174149.93,174127.48,174577.72,175608.72,155608.72,155463.27,155414.68,155637.42,155849.46,156400.80,156207.74,156604.69,156500.23,156460.44,157207.89,139330.73,139299.39,139156.45,139569.01,139796.02,140060.35,140334.10,141106.27,141323.16,141512.26,141664.82,141274.80,142374.60,152405.25,162475.67,162604.59,162953.63,162966.21,163373.64,163823.28,163803.74,163698.58,164072.70,164679.06,164722.57,165237.42,165981.91,166195.81,166280.50,166409.75,167074.71,167378.87,146962.75,147055.85,146946.23,146958.76,146918.53,147764.85,147632.54,147040.67,147786.17,148143.00,148134.71,148446.98,148436.75,148931.46,149124.41,148992.52,149806.42,150719.31,151241.23,151273.62,129274.97,129441.64,129264.12,129523.84,129462.58,129866.87,130010.33,130192.22,130624.20,130642.66,130688.11,130817.64,131054.03,131381.49,131588.17,131943.71,131820.86,132173.63,132282.49,132590.46,132702.72,133156.20,133049.11,132955.42,133040.99,133461.89,133161.14,133175.32,132503.88,129778.60,129429.72,170319.32,170989.20,166995.39,160309.48,149232.61,142227.61,149057.95,145275.29,149172.69,150727.96,154157.37,154971.98,153303.93,152674.00,153583.69,154075.46,155735.24,156507.15,158092.21,,,,,,,,,,,,
ATIVO,CLASSE,BCO,Data Contrata‹o,Data Aporte,Dt Vencimento,Valor,Notional Atualizado,DU,06/03/2017,07/03/2017,08/03/2017,14/03/2017,27/03/2017,17/04/2017,15/05/2017,16/05/2017,25/05/2017,19/06/2017,05/07/2017,11/07/2017,21/07/2017,28/07/2017,07/08/2017,07/08/2017,01/09/2017,14/09/2017,21/09/2017,27/09/2017,28/09/2017,29/09/2017,05/10/2017,09/10/2017,17/10/2017,25/10/2017,31/10/2017,07/11/2017,14/11/2017,16/11/2017,22/11/2017,27/11/2017,01/12/2017,04/12/2017,14/12/2017,22/12/2017,28/12/2017,16/01/2018,22/01/2018,23/01/2018,26/01/2018,29/01/2018,01/02/2018,06/02/2018,08/02/2018,16/02/2018,20/02/2018,28/02/2018,01/03/2018,05/03/2018,06/03/2018,08/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018,22/03/2018,26/03/2018,29/03/2018,02/04/2018,09/04/2018,16/04/2018,02/05/2018,03/05/2018,09/05/2018,11/05/2018,21/05/2018,25/05/2018,28/05/2018,19/06/2018,21/06/2018,26/06/2018,28/06/2018,29/06/2018,02/07/2018,03/07/2018,10/07/2018,17/07/2018,24/07/2018,30/07/2018,06/08/2018,28/08/2018,29/08/2018,06/09/2018,09/09/2018,17/09/2018,01/10/2018,11/10/2018,15/10/2018,18/10/2018,25/10/2018,29/10/2018,07/11/2018,21/11/2018,22/11/2018,26/11/2018,17/12/2018,02/01/2019,07/01/2019,14/01/2019,23/01/2019,28/01/2019,01/02/2019,04/02/2019,11/02/2019,22/02/2019,06/03/2019,08/03/2019,26/03/2019,02/04/2019,12/04/2019,22/04/2019,10/05/2019,15/05/2019,21/05/2019,24/05/2019,30/05/2019,31/05/2019,10/06/2019,17/06/2019,24/06/2019,27/06/2019,01/07/2019,08/07/2019,15/07/2019,22/07/2019,24/07/2019,26/07/2019,29/07/2019,06/08/2019,09/08/2019,14/08/2019,16/08/2019,02/09/2019,05/09/2019,10/09/2019,13/09/2019,16/09/2019,27/09/2019,30/09/2019,07/10/2019,14/10/2019,30/10/2019,01/11/2019,04/11/2019,06/11/2019,12/11/2019,19/11/2019,27/11/2019,02/12/2019,06/12/2019,09/12/2019,11/12/2019,16/12/2019,18/12/2019,19/12/2019,20/12/2019,21/12/2019,26/12/2019,02/01/2020,06/01/2020,08/01/2020,13/01/2020,14/01/2020,16/01/2020,17/01/2020,22/01/2020,24/01/2020,27/01/2020,30/01/2020,06/02/2020,11/02/2020,17/02/2020,26/02/2020,28/02/2020,02/03/2020,03/03/2020,04/03/2020,09/03/2020,12/03/2020,16/03/2020,24/03/2020,30/03/2020,06/04/2020,08/04/2020,13/04/2020,23/04/2020,30/04/2020,07/05/2020,14/05/2020,19/05/2020,22/05/2020,26/05/2020,01/06/2020,03/06/2020,%aa liquido,% Carteira,,PnL,,,,,,,,
COE - MULTI RETORNO,DERIVATIVOS,ITAU,02/03/2017,,06/03/2019, R$ 25000.00 , R$ 25000.00 ,504,29686.01,31541.71,31541.71,32259.08,34307.74,34307.74,29686.01,29686.01,29625.09,29625.09,29625.09,29625.09,34307.74,29625.09,29686.01,29686.01,29686.01,29686.01,29686.01,25008.52,25008.52,25008.52,29686.01,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,29625.09,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25054.52,25054.52,29686.01,29686.01,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,25008.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,0.02%,0.000%,0,,0.00,0.00%,notional atualizado,,,,,
COE - IBOVESPA PLUS,DERIVATIVOS,ITAU,31/08/2016,,, R$ 25000.00 , R$ -   ,947,28405.96,28149.31,28149.31,27974.95,27284.54,27074.12,29035.64,29035.64,27281.01,26428.77,29625.09,27020.83,27791.18,27824.09,28522.73,28522.73,30064.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,5.03%,0.000%,0,,0.00,#DIV/0!, R$ 694570.11 ,,,,,
COE - IPCA MAX,DERIVATIVOS,ITAU,07/03/2014,,, R$ 50000.00 , R$ -   ,1573,70414.81,70442.22,70442.22,70475.83,70616.93,70757.63,70882.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,5.75%,0.000%,0,,0.00,#DIV/0!,valor total,,,,,
FUNDO EXCELLENCE DI,FUNDO RF,ITAU,01/09/2017,,, R$ 20000.00 , R$ -   ,695,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20017.05,20041.23,20069.56,20076.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,0.14%,0.000%,0,,0.00,#DIV/0!,456277.21,,,,,
PRE LONGO PRAZO RF,FUNDO RF,ITAU,02/03/2017,,, R$ 20000.00 , R$ 20000.00 ,822,20006.45,20011.77,20011.77,20044.37,20159.62,20252.94,20443.65,20443.65,20197.71,20458.04,20553.46,20587.27,20791.72,20796.87,20945.89,20945.89,21161.40,21161.40,21256.33,21289.67,21266.51,21266.51,21287.51,21291.58,21293.52,21347.82,21302.43,21285.24,21246.78,21220.46,21333.17,21343.08,21307.60,21327.02,21408.22,21433.75,21477.77,21638.12,21639.91,21636.35,21682.93,21723.82,21710.74,21685.14,21719.57,21762.63,21798.81,21934.37,21957.52,21993.43,22024.01,22031.89,22038.38,22046.42,22070.62,22065.75,22062.50,22087.05,22132.30,22164.95,22182.79,22154.63,22185.05,22253.11,22242.67,22164.24,22193.97,21994.16,22016.32,21970.73,21672.39,21746.79,21716.93,21792.08,21855.82,21886.97,21929.63,21965.61,21983.46,22079.65,22147.33,22172.82,21987.10,21987.10,21871.66,21932.32,21964.70,22170.80,22530.05,22517.97,22706.52,22708.61,22768.20,22831.70,22912.23,22945.46,22989.62,23146.44,23263.25,23323.65,23312.12,23405.62,23417.60,23513.54,23544.86,23453.82,23661.62,23654.01,23649.54,23768.33,23809.05,23816.01,23853.17,23973.23,24007.12,23957.12,24044.71,24173.65,24189.98,24361.09,24474.52,24591.61,24586.14,24642.42,24715.93,24790.59,24804.72,24846.56,24840.36,24854.62,24807.57,24903.64,24911.60,24886.29,24886.76,24948.36,24973.55,24995.11,24962.66,25154.68,25167.82,25222.62,25388.64,25523.72,25519.93,25542.53,24721.27,24675.19,24612.77,24561.31,24601.94,24634.86,24678.64,24681.03,24699.30,24617.00,24638.84,24587.01,24618.91,24647.06,24714.49,24729.24,24732.05,24771.33,24751.34,24815.69,24774.50,24819.00,24838.59,24848.91,25010.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,7.09%,0.000%,0,,31.32,0.41%,,,,,,
CARTEIRA ITAU,,ITAU,06/02/2020,,, R$ 23701.73 , R$ 24401.73 ,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23701.73,23628.26,24486.56,24481.50,24036.35,23842.73,23935.74,24182.83,24089.29,23339.36,21647.71,21274.50,22362.51,22065.24,22229.29,22522.34,23050.72,23279.94,23098.90,23100.50,23325.64,23461.16,23636.38,23717.24,23867.13,-6.28%,4.293%,-0.002698333,-93.54,,,,,,,,
MULTIFUNDOS MM,FUNDO MM,ITAU,02/03/2017,01/03/2018,, R$ 6450.00 , R$ 25091.25 ,574,6465.91,6468.48,6468.48,6472.54,6483.02,6507.94,6582.08,6582.08,6438.24,6514.24,6553.37,6557.42,6627.98,6622.59,6689.87,6689.87,6783.16,6783.16,6827.44,6841.67,6838.89,6838.89,6862.54,6865.49,6873.99,6876.14,6876.11,6864.93,6860.13,6856.38,6878.69,6893.64,6885.46,6882.91,6889.46,6905.36,6920.30,6964.44,6993.95,6999.96,7024.54,7027.37,7044.12,7039.79,7030.29,7039.11,7057.31,7093.61,25091.25,25088.31,25111.63,25138.63,25151.26,25196.68,25226.48,25225.17,25219.60,25223.25,25286.47,25276.21,25265.42,25317.74,25341.85,25446.80,25449.77,25433.54,25436.15,25413.71,25420.98,25420.98,25484.04,25545.26,25551.45,25561.21,25550.19,25565.55,25573.06,25614.00,25616.54,25706.89,25725.63,25746.51,25729.77,25729.77,25710.86,25710.86,25691.34,25783.18,26005.41,25964.53,26036.63,26066.25,26062.48,26131.15,26151.23,26151.23,26148.24,26159.36,26291.72,26437.31,26497.60,26624.73,26693.45,26733.78,26814.81,26717.52,26752.44,26784.25,26744.33,26785.97,26809.20,26797.78,26778.07,26934.91,26902.06,26825.04,26929.16,27015.15,27015.15,27114.94,27250.89,27294.65,27332.02,27349.07,27496.40,27616.17,27687.27,27681.99,27687.91,27662.25,27736.68,27808.77,27787.59,27719.84,27727.81,27769.65,27781.89,27745.14,27759.42,27806.25,27838.26,27823.89,27891.52,28097.31,28173.53,28165.11,28140.19,28093.42,28080.06,28117.42,28118.81,28191.25,28221.41,28287.15,28382.89,28442.11,28399.92,28441.49,28440.08,28504.36,28601.98,28607.16,28645.47,28658.18,28667.86,28737.00,28737.00,28869.17,28891.93,28927.88,28869.86,28869.09,28836.84,28907.27,28922.06,28690.31,28628.59,28665.24,28800.33,28766.70,28449.17,27813.42,27656.56,28140.13,28095.85,28159.80,28229.80,28543.44,28628.02,28687.94,28697.51,28719.95,28768.01,28869.62,28908.65,28951.15,6.48%,5.069%,0.003286206,-33.63,81.03,0.15%,-34.31%,,,,,
PERSON PREMIUM DI,FUNDO REFERENCIADO,ITAU,02/03/2017,,, R$ 16720.00 , R$ -   ,822,16721.56,16724.48,16724.48,16737.99,16800.56,16895.18,16988.67,16988.67,17031.02,17113.49,17171.50,17190.77,17229.00,17248.38,17278.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,1.01%,0.000%,0,0.00,0.00,#DIV/0!,,,,,,
